iter	Passed	Remaining
668	1584	310
669	1585	307
670	1586	305
671	1588	302
672	1589	299
673	1590	297
674	1591	294
675	1592	292
676	1593	289
677	1594	286
678	1595	284
679	1598	282
680	1599	279
681	1600	276
682	1601	274
683	1602	271
684	1603	269
685	1604	266
686	1605	264
687	1607	261
688	1609	259
689	1611	256
690	1612	254
691	1614	251
692	1615	249
693	1616	246
694	1618	244
695	1619	242
696	1620	239
697	1621	237
698	1622	234
699	1623	231
700	1624	229
701	1625	226
702	1626	224
703	1627	221
704	1629	219
705	1630	217
706	1631	214
707	1632	212
708	1634	209
709	1635	207
710	1636	204
711	1637	202
712	1638	199
713	1640	197
714	1641	195
715	1642	192
716	1643	190
717	1644	187
718	1645	185
719	1646	182
720	1647	180
721	1655	178
722	1656	176
723	1657	174
724	1659	171
725	1660	169
726	1661	166
727	1662	164
728	1663	162
729	1665	159
730	1666	157
731	1667	154
732	1668	152
733	1669	150
734	1670	147
735	1671	145
736	1671	142
737	1672	140
738	1673	138
739	1674	135
740	1675	133
741	1676	131
742	1677	128
743	1678	126
744	1679	124
745	1680	121
746	1682	119
747	1683	117
748	1684	114
749	1685	112
750	1687	110
751	1688	107
752	1689	105
753	1691	103
754	1692	100
755	1693	98
756	1695	96
757	1696	93
758	1697	91
759	1698	89
760	1698	87
761	1699	84
762	1700	82
763	1701	80
764	1702	77
765	1703	75
766	1705	73
767	1706	71
768	1707	68
769	1708	66
770	1709	64
771	1710	62
772	1711	59
773	1712	57
774	1713	55
775	1714	53
776	1716	50
777	1717	48
778	1718	46
779	1719	44
780	1720	41
781	1721	39
782	1722	37
783	1723	35
784	1724	32
785	1725	30
786	1726	28
787	1728	26
788	1729	24
789	1730	21
790	1731	19
791	1732	17
792	1732	15
793	1733	13
794	1735	10
795	1736	8
796	1737	6
797	1738	4
798	1739	2
799	1740	0
